	SVL	Mass
Anolis_aequatorialis	120.0	34.9
Anolis_agassizi	114.0	30.0
Anolis_agueroi	158.1	78.5
Anolis_ahli	61.7	4.9
Anolis_alayoni	46.8	2.2
Anolis_alfaroi	36.0	1.0
Anolis_aliniger	60.0	4.5
Anolis_allisoni	100.0	20.4
Anolis_allogus	62.8	5.2
Anolis_alocomyos	54.1	3.3
Anolis_altae	52.0	3.0
Anolis_altavelensis	47.0	2.2
Anolis_altitudinalis	52.0	3.0
Anolis_alumina	40.0	1.4
Anolis_alutaceus	48.0	2.4
Anolis_alvarezdeltoroi	66.0	6.0
Anolis_amplisquamosus	49.4	2.6
Anolis_anatoloros	68.0	6.6
Anolis_anchicayae	63.0	5.2
Anolis_anfiloquioi	40.5	1.4
Anolis_angusticeps	53.0	3.2
Anolis_anisolepis	56.0	3.7
Anolis_annectens	77.6	9.7
Anolis_anoriensis	88.1	14.0
Anolis_antioquiae	77.0	9.5
Anolis_antonii	55.0	3.5
Anolis_apletophallus	47.0	2.2
Anolis_apollinaris	112.0	28.5
Anolis_aquaticus	77.2	9.5
Anolis_argenteolus	65.0	5.7
Anolis_argillaceus	48.0	2.4
Anolis_armouri	74.0	8.4
Anolis_auratus	57.0	3.9
Anolis_bahorucoensis	51.0	2.8
Anolis_baleatus	180.0	114.9
Anolis_baracoae	172.0	100.5
Anolis_barahonae	172.0	100.5
Anolis_barbatus	170.0	97.1
Anolis_barbouri	55.0	3.5
Anolis_barkeri	101.0	21.0
Anolis_bartschi	80.0	10.6
Anolis_beckeri	68.0	4.7
Anolis_bellipeniculus	70.2	7.2
Anolis_benedikti	48.6	2.4
Anolis_bicaorum	86.0	9.1
Anolis_bimaculatus	125.0	39.3
Anolis_binotatus	46.0	2.1
Anolis_biporcatus	115.0	30.8
Anolis_birama	65.0	5.7
Anolis_bitectus	56.5	3.8
Anolis_blanquillanus	85.0	12.6
